71	1422
5	500
79	500
94	500
68	1458
4	500
78	500
73	500
3	500
77	500
29	500
72	500
37	500
2	500
6	500
42	500
49	936
51	1782
61	258
32	1314
69	2016
93	500
75	1998
89	1826
11	1638
17	500
53	712
54	500
88	500
63	2075
74	500
1	948
36	500
50	500
95	500
45	500
70	500
46	1728
86	500
20	500
39	500
62	500
12	840
87	500
22	500
23	500
57	500
8	500
31	500
52	500
9	500
35	500
34	616
55	500
13	500
38	500
26	500
64	500
76	500
67	992
25	500
28	500
65	500
84	500
66	500
41	500
80	500
90	896
14	2125
30	1764
44	2178
56	1980
58	387
60	381
81	752
7	1404
10	500
15	500
21	2124
24	1314
27	1944
40	680
43	500
33	500
47	500
48	2322
18	500
85	919
16	1584
19	2052
59	321
82	2002
92	2575
83	2485
91	500
